lag,correlation,p_value,significant,n_obs
-5,0.05435803856189094,0.6879790011429137,False,57
-4,0.12026923458889743,0.3685064918690961,False,58
-3,0.1434311480203565,0.2784718597147898,False,59
-2,0.16800710369613878,0.199441435028122,False,60
-1,-0.050604336528085846,0.6985309370200025,False,61
0,0.18052145282602275,0.160299501788224,False,62
1,0.1890543766214844,0.14450724172267285,False,61
2,-0.19062695963722595,0.14458038789886268,False,60
3,-0.05827003655055318,0.6611130361147289,False,59
4,0.02326130507882443,0.8624000456143077,False,58
5,0.0694450813109147,0.607738937129443,False,57
