lag,correlation,p_value,significant,n_obs
-5,-0.17559117436592794,0.19138539704137364,False,57
-4,0.04531968025234898,0.7355103831449468,False,58
-3,-0.1790000070997739,0.17494276365639144,False,59
-2,-0.08224109290769772,0.5321708138626599,False,60
-1,0.04684073980672485,0.7199943524408356,False,61
0,0.0979179201268591,0.4489672654889043,False,62
1,-0.002260622661445629,0.9862046438431408,False,61
2,-0.0887816028915807,0.49995101781033924,False,60
3,0.13592503059932223,0.3046584395005078,False,59
4,0.0842951729462581,0.5292710086833228,False,58
5,0.0366664098034132,0.7865576217269643,False,57
